row_id,input_name,normalized_name,country_or_territory,location_type,coordinates,main_island,main_island_coordinates,notes,source_url
1,Fakaofo,Fakaofo,Tokelau,atoll,"-9.365278, -171.215000",Nukunonu,"-9.168330, -171.809720",,https://www.tokelau.org.nz/About%2BUs/Geography.html
2,Niulakita,Niulakita,Tuvalu,island,"-10.790000, 179.471111",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
3,Rest of Upolu,Rest of Upolu,Samoa,statistical region,"-13.960000, -171.600000",Upolu,"-13.916667, -171.750000",Representative point in eastern/southern Upolu.,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
4,Nukunonu,Nukunonu,Tokelau,atoll,"-9.168330, -171.809720",Nukunonu,"-9.168330, -171.809720",,https://www.tokelau.org.nz/About%2BUs/Geography.html
5,Samoa,Samoa,Samoa,country,"-13.916667, -171.750000",Upolu,"-13.916667, -171.750000","Country-level point placed on Upolu, the capital and principal population island.",https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
6,Pitcairn,Pitcairn Island,Pitcairn Islands,island/territory,"-25.066700, -130.100000",Pitcairn Island,"-25.066700, -130.100000",Point placed on the only inhabited island of the territory.,https://www.government.pn/
7,Western,Western Division,Fiji,division,"-17.650000, 177.550000",Viti Levu,"-17.800000, 178.000000",Representative point in western Viti Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
8,Nukufetau,Nukufetau,Tuvalu,atoll,"-8.026667, 178.313889",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
9,Vaitupu,Vaitupu,Tuvalu,atoll,"-7.489167, 178.679722",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
10,Mua,Mu'a,Wallis and Futuna,district,"-13.350000, -176.180000",Wallis (Uvea),"-13.300000, -176.200000",Representative point in southern Wallis.,https://www.assembleeterritoriale.wf/territorial-assembly-wallis-and-futuna
11,ÃŽles Sous-le-Vent,Îles Sous-le-Vent,French Polynesia,administrative subdivision,"-16.830000, -151.450000",Tahiti,"-17.650000, -149.450000",Representative point on Raiatea.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
12,Nanumanga,Nanumanga,Tuvalu,island,"-6.286389, 176.315278",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
13,Nukufetau,Nukufetau,Tuvalu,atoll,"-8.026667, 178.313889",Funafuti,"-8.524444, 179.194444",,https://whc.unesco.org/en/tentativelists/6707/
14,Savaii,Savai'i,Samoa,island/statistical region,"-13.633000, -172.433000",Upolu,"-13.916667, -171.750000",,https://www.sbs.gov.ws/images/sbs-documents/Population_and_Demography/SOCIO_ECONOMIC_Atlas2016.pdf
15,Vanuatu,Vanuatu,Vanuatu,country,"-17.680000, 168.370000",Efate,"-17.680000, 168.370000","Country-level point placed on Efate, where Port Vila is located.",https://www.vanuatu.travel/en/about-vanuatu/provinces
16,Southern Province,Southern Province,New Caledonia,province,"-22.100000, 166.250000",Grande Terre,"-21.300000, 165.500000",Representative point on southern Grande Terre.,https://gouv.nc/gouvernement-et-institutions-les-autres-institutions/les-provinces
17,Nukunonu,Nukunonu,Tokelau,atoll,"-9.168330, -171.809720",Nukunonu,"-9.168330, -171.809720",,https://www.tokelau.org.nz/About%2BUs/Geography.html
18,Fiji,Fiji,Fiji,country,"-17.800000, 178.000000",Viti Levu,"-17.800000, 178.000000",Country-level point placed on Viti Levu.,https://en.wikipedia.org/wiki/Divisions_of_Fiji
19,ÃŽles Marquises,Îles Marquises,French Polynesia,administrative subdivision,"-8.880000, -140.100000",Tahiti,"-17.650000, -149.450000",Representative point on Nuku Hiva.,https://www.polynesie-francaise.gouv.fr/Services-de-l-Etat/Le-Haut-Commissariat/Les-subdivisions
20,Niuas,Niuas,Tonga,island division,"-15.956180, -173.773340",Tongatapu,"-21.133333, -175.200000",Representative point on Niuatoputapu.,https://reliefweb.int/map/tonga/kingdom-tonga-population-tongatapu-eua-haapai-vavau-niuas-17-january-2022
