STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-2,Fakaofo,2016,2016,85,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-9,Niulakita,2017,2017,10,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-3,Rest of Upolu,2016,2016,12710,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-3,Nukunonu,2016,2016,448,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS,Samoa,2016,2016,195979,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PN,Pitcairn,2016,2016,51,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-5,Western,2017,2017,4.2,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-6,Nukufetau,2017,2017,4.8,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-5,Vaitupu,2017,2017,187,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-7,Mua,2018,2018,913,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-4,Îles Sous-le-Vent,2017,2017,35393,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-2,Nanumanga,2017,2017,385,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-6,Nukufetau,2017,2017,537,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-4,Savaii,2016,2016,43560,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU,Vanuatu,2016,2016,266555,,N,units,,,,,,,,
