STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,ENERGY_SOURCE,Energy source,GRID_CONN,Grid connection status,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2000,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2001,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2002,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2003,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2004,,0.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2005,,0.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2006,,0.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2007,,0.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2008,,0.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2009,,0.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2010,,0.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2011,,0.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2012,,0.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2013,,0.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2014,,0.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2015,,0.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2016,,0.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2017,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2018,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2019,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2020,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2021,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2022,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,MH,Marshall Islands,SOLPV,Solar Photovoltaic,OFF,Off-grid,2023,,1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,CK,Cook Islands,WNDON,Onshore Wind Energy,_T,Total,2003,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,CK,Cook Islands,WNDON,Onshore Wind Energy,_T,Total,2004,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,CK,Cook Islands,WNDON,Onshore Wind Energy,_T,Total,2005,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,CK,Cook Islands,WNDON,Onshore Wind Energy,_T,Total,2006,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,CK,Cook Islands,WNDON,Onshore Wind Energy,_T,Total,2007,,0,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2000,,441.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2001,,366.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_POWER_GEN(1.0),Power generation,I,A,Annual,NC,New Caledonia,HYDRO,Renewable Hydropower,ON,On-grid,2002,,320.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
